Title,Date,URL,Description
Regulation of artificial intelligence around the world,2023,http://www.loc.gov/item/2023555920/,"""LL File No. 2023-022541."" ""August 2023."" Description based on online resource, PDF version; title from cover (LOC, viewed Sept. 5, 2023)."
Introducing the Law Library's New Multi-jurisdiction Report on Regulation of Artificial Intelligence Around the World,2023-09-26,https://blogs.loc.gov/law/2023/09/introducing-the-law-librarys-new-multi-jurisdiction-report-on-regulation-of-artificial-intelligence-around-the-world/,"The blog post introduces the new Law Library report on ""Regulation of Artificial Intelligence Around the World."""
Introducing the LC Labs Artificial Intelligence Planning Framework,2023-11-15,https://blogs.loc.gov/thesignal/2023/11/introducing-the-lc-labs-artificial-intelligence-planning-framework/,LC Labs has been developing a planning framework to support the responsible exploration and potential adoption of AI at the Library.
New Law Library Report on Safety and Security of Artificial Intelligence Systems Published,2023-08-17,https://blogs.loc.gov/law/2023/08/new-law-library-report-on-safety-and-security-of-artificial-intelligence-systems-published/,"The blog post introduces the new Law Library report on ""Safety and Security of Artificial Intelligence Systems."""
S.2399 - 118th Congress (2023-2024): Artificial Intelligence and Biosecurity Risk Assessment Act,2023-07-19,https://www.congress.gov/bill/118th-congress/senate-bill/2399,Summary of S.2399 - 118th Congress (2023-2024): Artificial Intelligence and Biosecurity Risk Assessment Act
Our Summer of Artificial Intelligence: Copyright Office Hosts Two Webinars on Copyright and AI,2023-08-23,https://blogs.loc.gov/copyright/2023/08/our-summer-of-artificial-intelligence-copyright-office-hosts-two-webinars-on-copyright-and-ai/,"In June and July 2023, the Copyright Office hosted two public virtual webinars on the use of artificial intelligence technologies to generate works in creative fields. This blog post provides a brief recap of and links to the webinars, which focused on copyright registration guidance for AI-generated works and perspectives on how AI impacts copyright systems across the globe."
"Safety and security of artificial intelligence systems : Australia, Canada, European Union, New Zealand, United Kingdom",2023,http://www.loc.gov/item/2023555908/,"""LL File No. 2023-022302."" ""July 2023."" Description based on online resource, PDF version; title from cover (LOC, viewed July 28, 2023)."
"Artificial intelligence-based student activity monitoring for suicide risk : considerations for K-12 schools, caregivers, government, and technology developers",2023,http://lccn.loc.gov/2024402303,"In response to the widespread youth mental health crisis, some kindergarten-through-12th-grade (K-12) schools have begun employing artificial intelligence (AI)-based tools to help identify students at risk for suicide and self-harm. The adoption of AI and other types of educational technology to partially address student mental health needs has been a natural forward step for many schools during the transition to remote education. However, there is limited understanding about how such programs work, how they are implemented by schools, and how they may benefit or harm students and their families. To assist policymakers, school districts, school leaders, and others in making decisions regarding the use of these tools, the authors address these knowledge gaps by providing a preliminary examination of how AI-based suicide risk monitoring programs are implemented in K-12 schools, how stakeholders perceive the effects that the programs are having on students, and the potential benefits and risks of such tools. Using this analysis, the authors also offer recommendations for school and district leaders; state, federal, and local policymakers; and technology developers to consider as they move forward in maximizing the intended benefits and mitigating the possible risks of AI-based suicide risk monitoring programs."
S.2346 - 118th Congress (2023-2024): Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats,2023-07-18,https://www.congress.gov/bill/118th-congress/senate-bill/2346,Summary of S.2346 - 118th Congress (2023-2024): Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats
"Join Us on 5/18 for a Foreign and Comparative Law Webinar, ""E-Governance and E-Voting in the Baltic States: Leaders of E-Transformation""",2023-04-28,https://blogs.loc.gov/law/2023/04/join-us-on-5-18-for-a-foreign-and-comparative-law-webinar-e-governance-and-e-voting-in-the-baltic-states-leaders-of-e-transformation/,Announcing our latest Foreign and Comparative Law Webinar on E-Governance and E-Voting in the Baltic States.
#ICYMI: The Copyright Office Hears from Stakeholders on Important Issues with AI and Copyright,2023-07-18,https://blogs.loc.gov/copyright/2023/07/icymi-the-copyright-office-hears-from-stakeholders-on-important-issues-with-ai-and-copyright/,"In April and May 2023, the Copyright Office hosted four public, virtual listening sessions on the use of artificial intelligence to generates works in creative fields. The listening sessions focused on four different categories of works: literary works, including print journalism and software; visual arts; audiovisual works, including video games; and music and sound recordings. This blog post provides a brief recap of the four listening sessions."
