Title,Date,URL,Description
China : regulation of artificial intelligence,2023,http://www.loc.gov/item/2023555933/,"""LL File No. 2023-022300."" ""June 2023."" Includes bibliographical references. Description based on online resource, PDF version; title from cover (LOC, viewed Jan. 11, 2024)."
GAO's Artificial Intelligence Accountability Framework,2023-11-15,http://www.loc.gov/item/webcast-11232/,"Artificial Intelligence (AI) is a transformative technology and can enhance and improve government operations. Accountable and responsible use will be key. In June 2021, the US Government Accountability Office -- a research and evaluation arm of Congress -- issued an accountability framework for federal agencies who manage, operate and oversee AI."
Regulation of artificial intelligence around the world,2023,http://www.loc.gov/item/2023555920/,"""LL File No. 2023-022541."" ""August 2023."" Description based on online resource, PDF version; title from cover (LOC, viewed Sept. 5, 2023)."
Copyright Office Launches New Artificial Intelligence Initiative,2023-03-16,http://www.loc.gov/item/prn-23-032/,"<p><span>The U.S. Copyright Office today launched a new initiative to examine the copyright law and policy issues raised by artificial intelligence, including the scope of copyright in works generated using AI tools and the use of copyrighted materials in AI training.</span></p><p><span>This initiative is in direct response to the recent striking advances in generative AI technologies and their rapidly growing use by individuals and businesses. The Copyright Office has received requests from Congress and members of the public, including creators and AI users, to examine the issues raised for copyright, and it is already receiving applications for registration of works including AI-generated content.</span></p><p><span>To address the copyrightability and registration issues raised by these works, the Copyright Office is issuing new </span><a href=""https://www.govinfo.gov/content/pkg/FR-2023-03-16/pdf/2023-05321.pdf""><span>registration guidance</span></a><span>. The guidance makes clear that applicants have a"
An introduction to artificial intelligence for federal judges,2023,http://lccn.loc.gov/2020449286,"In scope of the U.S. Government Publishing Office Cataloging and Indexing Program (C&I) and Federal Depository Library Program (FDLP). Includes bibliographical references. Description based on online resource; title from PDF title page (FJC, viewed April 11, 2023)."
China: Cyberspace Authority Releases Draft Measures Regulating Generative Artificial Intelligence,2023-07-04,http://www.loc.gov/item/global-legal-monitor/2023-07-04/china-cyberspace-authority-releases-draft-measures-regulating-generative-artificial-intelligence/,"<p>On April 11, 2023, the Cyberspace Administration of China (CAC) released draft measures to regulate the provision of generative artificial intelligence (AI) services — for example, ChatGPT — to solicit comments from the public on the proposed measures. The Measures for the Management of Generative Artificial Intelligence Services (Draft for Comment) (unofficial English translation) aim &hellip; </p> <p class=""link-more""><a href=""https://www.loc.gov/item/global-legal-monitor/2023-07-04/china-cyberspace-authority-releases-draft-measures-regulating-generative-artificial-intelligence/"" class=""more-link"">Continue reading<span class=""screen-reader-text""> &#8220;China: Cyberspace Authority Releases Draft Measures Regulating Generative Artificial Intelligence&#8221;</span></a></p>"
H.R.3369 - 118th Congress (2023-2024): Artificial Intelligence Accountability Act,2023-10-25,https://www.congress.gov/bill/118th-congress/house-bill/3369,Summary of H.R.3369 - 118th Congress (2023-2024): Artificial Intelligence Accountability Act
Introducing the Law Library's New Multi-jurisdiction Report on Regulation of Artificial Intelligence Around the World,2023-09-26,https://blogs.loc.gov/law/2023/09/introducing-the-law-librarys-new-multi-jurisdiction-report-on-regulation-of-artificial-intelligence-around-the-world/,"The blog post introduces the new Law Library report on ""Regulation of Artificial Intelligence Around the World."""
Introducing the LC Labs Artificial Intelligence Planning Framework,2023-11-15,https://blogs.loc.gov/thesignal/2023/11/introducing-the-lc-labs-artificial-intelligence-planning-framework/,LC Labs has been developing a planning framework to support the responsible exploration and potential adoption of AI at the Library.
China's AI exports : technology distribution and data safety,2023,http://lccn.loc.gov/2024443639,"In recent years, China's aspiration for global technology leadership has driven its significant investments in artificial intelligence (AI) for national security, economic growth, and societal well-being. Although there is increasing research and analysis on China's domestic AI development ecosystems and drivers, the details of China's development-financed AI exports remain elusive. Despite being the single-largest provider of foreign development assistance, Beijing does not participate in aid or debt transparency initiatives. To address this gap, researchers from the RAND Corporation and AidData jointly built a new database on China's AI export projects that are funded with official development financing: China's AI Exports Database (CAIED). CAIED uses data from multiple public databases and indexes related to China's global financing and recipient countries' electoral democracy, freedom, and data protection and privacy status. In this report, the authors analyze this quantitative dataset--adding qualitative country case studies based on interviews and social media analysis--to examine the distribution, technology, financing, and data safety aspects of China's AI exports."
